# temp /K, heater output /V
3.9, 0.88320
8.6, 1.680
13.3, 3.4080
18.0, 5.2080
22.7, 6.3360
27.4, 7.680
32.1, 8.8080
36.8, 10.128
41.5, 11.424
46.2, 12.504
50.9, 13.464
55.6, 14.832
60.3, 16.104
65.0, 17.184
69.7, 17.952
74.4, 18.576
79.1, 19.344
83.8, 19.752
88.5, 20.304
93.2, 20.904
97.9, 21.624
102.6, 22.344
107.3, 22.920
112.0, 23.592
116.7, 24
121.4, 24
126.1, 24
130.8, 24
135.5, 24
140.2, 24
144.9, 24
149.6, 24
154.3, 24
159.0, 24
163.7, 24
168.4, 24
173.1, 24
177.8, 24
182.5, 24
187.2, 24
191.9, 24
196.6, 24
201.3, 24
206.0, 24
210.7, 24
215.4, 24
220.1, 24
224.8, 24
229.5, 24
234.2, 24
238.9, 24
243.6, 24
248.3, 24
253.0, 24
257.7, 24
262.4, 24
267.1, 24
271.8, 24
276.5, 24
281.2, 24
285.9, 24
290.6, 24
295.3, 24
300.0, 24
